red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
Jan Blachowicz,Corey Anderson,-105,-115,f,0,1.8696,10,7,-2.53999999999999,-2.53999999999999,-1,0,-3,-1,0,0,0,0,-1,31.5,0,3,-8,2015-09-05,f,Light Heavyweight,MALE,3,1,0,2,1,7,1,1,0,2,Orthodox,190.5,200.66,1,0,1,1,4,0,1,0,1,Orthodox,187.96,198.12,32,25,20,12
Paige VanZant,Alex Chambers,-1500,1000,t,1.0667,0,-2500,-15,5.07999999999998,2.53999999999999,1,-1,2,0,1,-1,1,0,1,-36,-0.5,-1,-13,2015-09-05,f,Women's Strawweight,FEMALE,3,0,1,1,1,4,0,0,1,1,Switch,160.02,160.02,0,2,2,0,6,0,1,0,2,Orthodox,162.56,165.1,21,36,20,7
Ross Pearson,Paul Felder,350,-440,t,4.5,0,790,-1,-2.54000000000002,-7.62,7,6,31,1,3,0,0,0,1,3.6042,0,-0.2917,0,2015-09-05,f,Lightweight,MALE,3,1,0,2,1,8,0,1,0,2,Orthodox,180.34,177.8,1,0,3,7,39,1,4,0,9,Orthodox,172.72,175.26,30,31,20,20
Francisco Rivera,John Lineker,130,-150,f,0,1.6667,280,8,2.53999999999999,12.7,-2,2,-2,0,-1,0,-1,0,-2,22.375,0.125,-0.125,-8,2015-09-05,f,Bantamweight,MALE,3,0,2,4,2,19,0,4,0,6,Orthodox,160.02,170.18,0,1,2,4,17,0,3,0,4,Orthodox,172.72,172.72,33,25,20,12
Jessica Andrade,Raquel Pennington,-170,150,f,0,2.5,-320,-3,-12.7,-15.24,2,0,3,0,0,0,1,-1,2,-7.75,0.5,-0.5,-7,2015-09-05,f,Women's Bantamweight,FEMALE,3,1,0,1,2,10,0,0,1,2,Orthodox,170.18,170.18,0,1,3,2,13,0,0,1,4,Orthodox,154.94,157.48,23,26,20,13
Clay Collard,Tiago Trator,-145,125,f,0,2.25,-270,-6,7.61999999999998,5.08000000000001,0,1,5,0,0,0,0,0,0,-20.1667,-0.6667,-3.3333,0,2015-09-05,f,Featherweight,MALE,3,1,0,1,1,4,0,0,0,1,Orthodox,175.26,177.8,1,0,1,2,9,0,0,0,1,Orthodox,180.34,185.42,22,28,20,20
Joe Riggs,Ron Stallings,195,-235,t,2.95,0,430,0,-12.7,-5.08000000000001,3,5,12,0,1,1,-1,3,0,17,-0.2,-1.1,0,2015-09-05,f,Middleweight,MALE,3,0,1,1,1,4,0,0,0,1,Southpaw,187.96,190.5,3,0,1,6,16,0,1,1,4,Southpaw,182.88,177.8,32,32,20,20
Joaquim Silva,Nazareno Malegarie,105,-125,t,2.05,0,230,-3,-2.54000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-05,f,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,26,29,20,20
Max Holloway,Charles Oliveira,-255,215,t,1.3922,0,-470,-2,-12.7,2.53999999999999,1,-2,4,0,4,-5,2,0,2,-40.5321,1.0449,1.0705,-2,2015-08-23,f,Featherweight,MALE,5,0,4,4,5,26,0,0,7,8,Orthodox,177.8,187.96,0,6,6,3,30,0,4,2,9,Orthodox,180.34,175.26,23,25,7,5
Neil Magny,Erick Silva,170,-200,t,2.7,0,370,-3,15.24,7.62,2,-1,13,0,1,-3,-2,1,5,-28.6545,0.7091,-1.7909,-5,2015-08-23,f,Welterweight,MALE,3,0,2,2,4,15,0,2,4,6,Orthodox,182.88,187.96,1,0,7,3,28,0,3,1,8,Orthodox,190.5,203.2,28,31,20,15
Patrick Cote,Joshua Burkman,150,-170,t,2.5,0,320,0,-2.53999999999999,2.53999999999999,3,2,12,2,1,-1,1,-5,2,0.5196,0.1569,1.5784,0,2015-08-23,f,Welterweight,MALE,3,5,0,2,7,30,0,1,1,5,Orthodox,177.8,182.88,0,1,4,9,42,2,2,0,8,Orthodox,180.34,180.34,35,35,20,20
Chad Laprise,Francisco Trinaldo,-460,365,f,0,4.65,-825,-7,2.53999999999999,2.54000000000002,-4,-3,-15,1,-1,-2,0,0,0,-31.9333,0.5,-0.5333,0,2015-08-23,f,Lightweight,MALE,3,0,3,3,3,24,0,1,2,7,Southpaw,175.26,177.8,0,3,3,0,9,1,0,0,3,Orthodox,177.8,180.34,29,36,20,20
Olivier Aubin-Mercier,Tony Sims,-200,170,t,1.5,0,-370,-3,0,-5.08000000000001,1,1,7,1,-1,2,1,0,1,-31.6667,-0.6667,-2.3333,0,2015-08-23,f,Lightweight,MALE,3,0,1,1,0,1,0,1,0,1,Southpaw,180.34,177.8,0,2,2,1,8,1,0,2,2,Southpaw,175.26,177.8,26,29,20,20
Maryna Moroz,Valerie Letourneau,-265,225,f,0,3.25,-490,-9,-2.53999999999999,0,-1,0,-5,0,0,1,-1,0,-1,59,0,1,-12,2015-08-23,f,Women's Strawweight,FEMALE,3,0,2,2,0,6,0,0,0,2,Orthodox,170.18,172.72,0,1,1,0,1,0,0,1,1,Orthodox,170.18,170.18,23,32,20,8
Sam Stout,Frankie Perez,135,-145,f,0,1.6897,280,5,-7.61999999999998,-5.08000000000001,9,9,47,0,1,0,0,1,2,-36.2632,0.8947,0.4737,0,2015-08-23,f,Lightweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,180.34,185.42,2,0,2,10,50,0,1,0,9,Orthodox,175.26,177.8,31,26,20,20
